ID,CODE,VALUE
253,"KS","Kastanozem"
254,"KScc","Calcic Kastanozem"
255,"KScckk","Akroskeletic Calcic Kastanozem"
256,"KSccqs","Protosodic Calcic Kastanozem"
257,"KSccsk","Skeletic Calcic Kastanozem"
258,"KSgy","Gypsic Kastanozem"
259,"KSha","Haplic Kastanozem"
260,"KSkk","Akroskeletic Kastanozem"
261,"KSle","Leptic Kastanozem"
262,"KSlecc","Calcic Leptic Kastanozem"
263,"KSlelv","Luvic Leptic Kastanozem"
264,"KSlv","Luvic Kastanozem"
265,"KSlvkk","Akroskeletic Luvic Kastanozem"
266,"KSlvsk","Skeletic Luvic Kastanozem"
267,"KSlvye","Yermic Luvic Kastanozem"
268,"KSsk","Skeletic Kastanozem"
269,"KSye","Yermic Kastanozem"
270,"LP","Leptosol"
271,"LPdy","Dystric Leptosol"
272,"LPeu","Eutric Leptosol"
273,"LPkk","Akroskeletic Leptosol"
274,"LPkkdy","Dystric Akroskeletic Leptosol"
275,"LPkkeu","Eutric Akroskeletic Leptosol"
276,"LPkkmo","Mollic Akroskeletic Leptosol"
277,"LPkkrz","Rendzic Akroskeletic Leptosol"
278,"LPkksk","Skeletic Akroskeletic Leptosol"
279,"LPkkum","Umbric Akroskeletic Leptosol"
280,"LPli","Lithic Leptosol"
281,"LPlikk","Akroskeletic Lithic Leptosol"
282,"LPliqs","Protosodic Lithic Leptosol"
283,"LPlisk","Skeletic Lithic Leptosol"
284,"LPmo","Mollic Leptosol"
285,"LPmoqs","Protosodic Mollic Leptosol"
286,"LPmosk","Skeletic Mollic Leptosol"
287,"LPnt","Nudilithic Leptosol"
288,"LPntkk","Akroskeletic Nudilithic Leptosol"
289,"LPrz","Rendzic Leptosol"
290,"LPrzqs","Protosodic Rendzic Leptosol"
291,"LPrzsk","Skeletic Rendzic Leptosol"
292,"LPrzskkk","Akroskeletic Skeletic Rendzic Leptosol"
293,"LPskdy","Dystric Skeletic Leptosol"
294,"LPskeu","Eutric Skeletic Leptosol"
295,"LPskkkdy","Dystric Akroskeletic Skeletic Leptosol"
296,"LPskkkum","Umbric Akroskeletic Skeletic Leptosol"
297,"LPskrz","Rendzic Skeletic Leptosol"
298,"LPskum","Umbric Skeletic  Leptosol"
299,"LPum","Umbric Leptosol"
300,"LV","Luvisol"
301,"LVab","Albic Luvisol"
302,"LVabkk","Akroskeletic Albic Luvisol"
303,"Lvabsk","Skeletic Albic Luvisol"
304,"LVcc","Calcic Luvisol"
305,"LVcckk","Akroskeletic Calcic Luvisol"
306,"LVccskkk","Akroskeletic Skeletic Calcic Luvisol"
307,"LVcr","Chromic Luvisol"
308,"LVcrkk","Akroskeletic Chromc Luvisol"
309,"LVcrsk","Skeletic Chromic Luvisol"
310,"LVcrskkk","Akroskeletic Skeletic Chromic Luvisol"
311,"LVfg","Fragic Luvisol"
312,"LVfggl","Gleyic Fragic Luvisol"
313,"LVfgsk","Skeletic Fragic Luvisol"
314,"LVfr","Ferric Luvisol"
315,"LVfrkk","Akroskeletic Ferric Luvisol"
316,"LVfrsk","Skeletic Ferric Luvisol"
317,"LVgl","Gleyic Luvisol"
318,"LVglkk","Akroskeletic Gleyic Luvisol"
319,"LVglsk","Skeletic Gleyic Luvisol"
320,"LVglskkk","Akroskeletic Skeletic Gleyic Luvisol"
